iter	Passed	Remaining
916	1131	102
917	1132	101
918	1133	99
919	1134	98
920	1136	97
921	1137	96
922	1138	95
923	1140	93
924	1140	92
925	1141	91
926	1142	89
927	1143	88
928	1144	87
929	1145	86
930	1146	84
931	1147	83
932	1147	82
933	1148	81
934	1149	79
935	1150	78
936	1151	77
937	1152	76
938	1153	74
939	1154	73
940	1155	72
941	1157	71
942	1158	70
943	1159	68
944	1160	67
945	1161	66
946	1162	65
947	1163	63
948	1164	62
949	1164	61
950	1165	60
951	1166	58
952	1168	57
953	1169	56
954	1170	55
955	1170	53
956	1171	52
957	1172	51
958	1173	50
959	1174	48
960	1175	47
961	1176	46
962	1177	45
963	1178	43
964	1179	42
965	1179	41
966	1180	40
967	1182	39
968	1183	37
969	1184	36
970	1185	35
971	1186	34
972	1187	32
973	1188	31
974	1188	30
975	1189	29
976	1190	28
977	1191	26
978	1192	25
979	1193	24
980	1194	23
981	1195	21
982	1196	20
983	1197	19
984	1198	18
985	1199	17
986	1200	15
987	1201	14
988	1202	13
989	1203	12
990	1203	10
991	1204	9
992	1205	8
993	1206	7
994	1207	6
995	1208	4
996	1209	3
997	1209	2
998	1211	1
999	1212	0
